Unnamed: 0,Name,POS,Age,HT,WT,College,Salary,TeamURL,Team,Division,Conference
,Caris LeVert8,G,31,"6' 7""",205 lbs,Michigan,"$14,104,000",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Paul Reed7,F,26,"6' 9""",210 lbs,DePaul,"$5,335,894",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Duncan Robinson55,F,31,"6' 7""",215 lbs,Michigan,"$16,834,692",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Marcus Sasser25,G,25,"6' 1""",195 lbs,Houston,"$2,886,720",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Tolu Smith35,F,25,"6' 11""",250 lbs,Mississippi State,--,https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Isaiah Stewart28,F,24,"6' 8""",250 lbs,Washington,"$15,000,000",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Ausar Thompson9,G,22,"6' 7""",205 lbs,--,"$8,775,000",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons,Central,Eastern
,Tony Bradley13,C,27,"6' 10""",248 lbs,North Carolina,"$2,940,876",https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,RayJ Dennis10,G,24,"6' 2""",180 lbs,Baylor,--,https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,Johnny Furphy12,G,20,"6' 8""",200 lbs,Kansas,"$1,955,377",https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,Tyrese Haliburton0,G,25,"6' 5""",185 lbs,Iowa State,"$45,550,512",https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,Jay Huff32,C,28,"7' 1""",240 lbs,Virginia,"$2,349,578",https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,Isaiah Jackson22,F,23,"6' 8""",205 lbs,Kentucky,"$7,000,000",https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,Quenton Jackson29,G,27,"6' 4""",173 lbs,Texas A&M,--,https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,Kam Jones7,G,23,"6' 4""",200 lbs,Marquette,"$1,272,870",https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,Bennedict Mathurin00,G,23,"6' 5""",210 lbs,Arizona,"$9,187,573",https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,T.J. McConnell9,G,33,"6' 1""",190 lbs,Arizona,"$10,200,000",https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,Andrew Nembhard2,G,25,"6' 4""",191 lbs,Gonzaga,"$18,102,000",https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,Aaron Nesmith23,G,26,"6' 5""",215 lbs,Vanderbilt,"$11,000,000",https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,Taelon Peter4,G,23,"6' 3""",185 lbs,Liberty,--,https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,Ben Sheppard26,G,24,"6' 6""",190 lbs,Belmont,"$2,790,720",https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
,Pascal Siakam43,F,31,"6' 8""",245 lbs,New Mexico State,"$45,550,512",https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers,Central,Eastern
